lncRNA ,disease,lncRNA ,disease,yucelabel,0_gailv,1_gailv,,PMID
249,1307,LINC-ITGB1,Stomach Neoplasms,1,0.008026242,0.991973758,,
518,1307,GIHCG,Stomach Neoplasms,1,0.008216143,0.991783857,,
666,1308,MAFG-AS1,Lung Neoplasms,1,0.003544033,0.996455967,,PMID:?31211984
150,1308,GACAT3,Lung Neoplasms,1,0.004472792,0.995527208,,PMID:?29565489
659,1308,LOC285194,Lung Neoplasms,1,0.004822969,0.995177031,,PMID:?30542733
463,1308,AWPPH,Lung Neoplasms,1,0.004860282,0.995139718,,PMID:?30942396
159,1308,GHET1,Lung Neoplasms,1,0.004987776,0.995012224,,PMID:?29286919
822,1308,TUBA4B,Lung Neoplasms,1,0.004996598,0.995003402,,
418,1308,PCNA-AS1,Lung Neoplasms,1,0.005223036,0.994776964,,
49,1308,AOC4P,Lung Neoplasms,1,0.005223036,0.994776964,,
818,1308,TRPM2-AS,Lung Neoplasms,1,0.005351961,0.994648039,,
265,1308,LINC00472,Lung Neoplasms,1,0.005791426,0.994208574,,
802,1308,TATDN1,Lung Neoplasms,1,0.006049514,0.993950486,,
522,1308,HANR,Lung Neoplasms,1,0.006076753,0.993923247,,
732,1308,RGMB-AS1,Lung Neoplasms,1,0.006253242,0.993746758,,
330,1308,lncTCF7,Lung Neoplasms,1,0.006492376,0.993507624,,
249,1308,LINC-ITGB1,Lung Neoplasms,1,0.006552756,0.993447244,,
262,1309,LINC00460,Ovarian Neoplasms,1,0.002503455,0.997496545,,
159,1309,GHET1,Ovarian Neoplasms,1,0.00262773,0.99737227,,
733,1309,RHPN1-AS1,Ovarian Neoplasms,1,0.003335059,0.996664941,,
60,1309,BCAR4,Ovarian Neoplasms,1,0.003471792,0.996528208,,
70,1309,CASC11,Ovarian Neoplasms,1,0.003534794,0.996465206,,
300,1309,LINC01296,Ovarian Neoplasms,1,0.004006863,0.995993137,,
456,1309,ANCR,Ovarian Neoplasms,1,0.004125893,0.995874107,,
484,1309,CCHE1,Ovarian Neoplasms,1,0.004367411,0.995632589,,
813,1309,TPT1-AS1,Ovarian Neoplasms,1,0.004568458,0.995431542,,
311,1309,LINCRNA-p21,Ovarian Neoplasms,1,0.004574358,0.995425642,,
624,1309,LINC-POU3F3,Ovarian Neoplasms,1,0.004982054,0.995017946,,
659,1309,LOC285194,Ovarian Neoplasms,1,0.005126655,0.994873345,,
272,1309,LINC00668,Ovarian Neoplasms,1,0.005254745,0.994745255,,
799,1309,SUMO1P3,Ovarian Neoplasms,1,0.005405605,0.994594395,,
53,1309,ATB,Ovarian Neoplasms,1,0.00554347,0.99445653,,
150,1310,GACAT3,"Carcinoma, Hepatocellular",1,0.002863884,0.997136116,,
60,1310,BCAR4,"Carcinoma, Hepatocellular",1,0.0031389,0.9968611,,
33,1310,ADAMTS9-AS2,"Carcinoma, Hepatocellular",1,0.003557384,0.996442616,,
563,1310,LINC00324,"Carcinoma, Hepatocellular",1,0.003688514,0.996311486,,
372,1310,MIR4435-2HG,"Carcinoma, Hepatocellular",1,0.003756523,0.996243477,,
696,1310,NEF,"Carcinoma, Hepatocellular",1,0.0044294,0.9955706,,
444,1310,AB073614,"Carcinoma, Hepatocellular",1,0.004671216,0.995328784,,
88,1310,CEBPA-AS1,"Carcinoma, Hepatocellular",1,0.00516665,0.99483335,,
828,1310,uc001lsz,"Carcinoma, Hepatocellular",1,0.005984962,0.994015038,,
736,1310,ROR,"Carcinoma, Hepatocellular",1,0.006474972,0.993525028,,
245,1310,LBX2-AS1,"Carcinoma, Hepatocellular",1,0.007368445,0.992631555,,
387,1310,NBAT1,"Carcinoma, Hepatocellular",1,0.008264482,0.991735518,,
635,1310,lnc-DILC,"Carcinoma, Hepatocellular",1,0.010044694,0.989955306,,
768,1310,snaR,"Carcinoma, Hepatocellular",1,0.010116279,0.989883721,,
822,1310,TUBA4B,"Carcinoma, Hepatocellular",1,0.010528803,0.989471197,,
163,1311,H19,"Telangiectasia, Hereditary Hemorrhagic",1,0.060589254,0.939410746,,
87,1311,CDKN2B-AS1,"Telangiectasia, Hereditary Hemorrhagic",1,0.069791913,0.930208087,,
58,1311,BALR-2,"Telangiectasia, Hereditary Hemorrhagic",1,0.10307014,0.89692986,,
355,1311,MALAT1,"Telangiectasia, Hereditary Hemorrhagic",1,0.113103271,0.886896729,,
360,1311,MEG3,"Telangiectasia, Hereditary Hemorrhagic",1,0.119580865,0.880419135,,
176,1311,HLA-AS1,"Telangiectasia, Hereditary Hemorrhagic",1,0.122415066,0.877584934,,
410,1311,PCA3,"Telangiectasia, Hereditary Hemorrhagic",1,0.130954564,0.869045436,,
421,1311,PICSAR,"Telangiectasia, Hereditary Hemorrhagic",1,0.132303178,0.867696822,,
396,1311,NONRATT021972,"Telangiectasia, Hereditary Hemorrhagic",1,0.134957671,0.865042329,,
178,1311,HOTAIR,"Telangiectasia, Hereditary Hemorrhagic",1,0.146556914,0.853443086,,
99,1311,DAOA-AS1,"Telangiectasia, Hereditary Hemorrhagic",1,0.17141062,0.82858938,,
391,1311,NEAT1,"Telangiectasia, Hereditary Hemorrhagic",1,0.179626584,0.820373416,,
830,1311,UCA1,"Telangiectasia, Hereditary Hemorrhagic",1,0.18731004,0.81268996,,
363,1311,MIAT,"Telangiectasia, Hereditary Hemorrhagic",1,0.189540148,0.810459852,,
191,1311,IGF2BP2-AS1,"Telangiectasia, Hereditary Hemorrhagic",1,0.19709295,0.80290705,,
134,1312,FER1L4,"Carcinoma, Non-Small-Cell Lung",1,0.002717495,0.997282505,,
380,1312,MT1JP,"Carcinoma, Non-Small-Cell Lung",1,0.00276053,0.99723947,,
70,1312,CASC11,"Carcinoma, Non-Small-Cell Lung",1,0.002863884,0.997136116,,
130,1312,FAM83H-AS1,"Carcinoma, Non-Small-Cell Lung",1,0.003027201,0.996972799,,
509,1312,FLVCR1-AS1,"Carcinoma, Non-Small-Cell Lung",1,0.003728271,0.996271729,,
688,1312,MYCLo-6,"Carcinoma, Non-Small-Cell Lung",1,0.004172623,0.995827377,,
687,1312,MYCLo-5,"Carcinoma, Non-Small-Cell Lung",1,0.004172623,0.995827377,,
624,1312,LINC-POU3F3,"Carcinoma, Non-Small-Cell Lung",1,0.004180193,0.995819807,,
93,1312,CPS1-IT1,"Carcinoma, Non-Small-Cell Lung",1,0.004224718,0.995775282,,
718,1312,PICART1,"Carcinoma, Non-Small-Cell Lung",1,0.004306316,0.995693684,,
587,1312,LINC00857,"Carcinoma, Non-Small-Cell Lung",1,0.004544854,0.995455146,,
770,1312,SNHG11,"Carcinoma, Non-Small-Cell Lung",1,0.005801678,0.994198322,,
442,1312,LINC00152,"Carcinoma, Non-Small-Cell Lung",1,0.005870223,0.994129777,,
736,1312,ROR,"Carcinoma, Non-Small-Cell Lung",1,0.005907118,0.994092882,,
119,1312,EGOT,"Carcinoma, Non-Small-Cell Lung",1,0.006940246,0.993059754,,
49,1313,AOC4P,Liver Neoplasms,1,0.02364862,0.97635138,,
418,1313,PCNA-AS1,Liver Neoplasms,1,0.026454628,0.973545372,,
119,1313,EGOT,Liver Neoplasms,1,0.028409541,0.971590459,,
509,1313,FLVCR1-AS1,Liver Neoplasms,1,0.029199898,0.970800102,,
659,1313,LOC285194,Liver Neoplasms,1,0.029201329,0.970798671,,
484,1313,CCHE1,Liver Neoplasms,1,0.031203568,0.968796432,,
251,1313,LINC00052,Liver Neoplasms,1,0.031473994,0.968526006,,
272,1313,LINC00668,Liver Neoplasms,1,0.032067418,0.967932582,,
733,1313,RHPN1-AS1,Liver Neoplasms,1,0.032252312,0.967747688,,
413,1313,PCAT29,Liver Neoplasms,1,0.034395397,0.965604603,,
522,1313,HANR,Liver Neoplasms,1,0.035463572,0.964536428,,
249,1313,LINC-ITGB1,Liver Neoplasms,1,0.036924601,0.963075399,,
159,1313,GHET1,Liver Neoplasms,1,0.038367689,0.961632311,,
380,1313,MT1JP,Liver Neoplasms,1,0.039258897,0.960741103,,
708,1313,PART1,Liver Neoplasms,1,0.039521396,0.960478604,,
163,1314,H19,Polycystic Ovary Syndrome,1,0.051108479,0.948891521,,
87,1314,CDKN2B-AS1,Polycystic Ovary Syndrome,1,0.070860088,0.929139912,,
421,1314,PICSAR,Polycystic Ovary Syndrome,1,0.089173496,0.910826504,,
360,1314,MEG3,Polycystic Ovary Syndrome,1,0.095433295,0.904566705,,
355,1314,MALAT1,Polycystic Ovary Syndrome,1,0.098597288,0.901402712,,
58,1314,BALR-2,Polycystic Ovary Syndrome,1,0.121239424,0.878760576,,
391,1314,NEAT1,Polycystic Ovary Syndrome,1,0.134505868,0.865494132,,
235,1314,IPW,Polycystic Ovary Syndrome,1,0.143979073,0.856020927,,
410,1314,PCA3,Polycystic Ovary Syndrome,1,0.146663547,0.853336453,,
192,1314,IGFBP7-AS1,Polycystic Ovary Syndrome,1,0.168846071,0.831153929,,
363,1314,MIAT,Polycystic Ovary Syndrome,1,0.170445621,0.829554379,,
438,1314,RN7SK,Polycystic Ovary Syndrome,1,0.178290009,0.821709991,,
178,1314,HOTAIR,Polycystic Ovary Syndrome,1,0.213920236,0.786079764,,
136,1314,FGF10-AS1,Polycystic Ovary Syndrome,1,0.222067356,0.777932644,,
299,1314,LINC01262,Polycystic Ovary Syndrome,1,0.230238557,0.769761443,,
377,1315,MNX1-AS1,Pancreatic Neoplasms,1,0.04670465,0.95329535,,
519,1315,GLIS3-AS1,Pancreatic Neoplasms,1,0.046794176,0.953205824,,
265,1315,LINC00472,Pancreatic Neoplasms,1,0.047571659,0.952428341,,
463,1315,AWPPH,Pancreatic Neoplasms,1,0.049128115,0.950871885,,
300,1315,LINC01296,Pancreatic Neoplasms,1,0.050228298,0.949771702,,
63,1315,BLACAT1,Pancreatic Neoplasms,1,0.051067352,0.948932648,,
150,1315,GACAT3,Pancreatic Neoplasms,1,0.053934216,0.946065784,,
704,1315,PANDA,Pancreatic Neoplasms,1,0.055842161,0.944157839,,
80,1315,CCAT2,Pancreatic Neoplasms,1,0.056493342,0.943506658,,
504,1315,FAL1,Pancreatic Neoplasms,1,0.056673288,0.943326712,,
134,1315,FER1L4,Pancreatic Neoplasms,1,0.060567915,0.939432085,,
262,1315,LINC00460,Pancreatic Neoplasms,1,0.060695529,0.939304471,,
664,1315,LSINCT5,Pancreatic Neoplasms,1,0.061962485,0.938037515,,
538,1315,HOXD-AS1,Pancreatic Neoplasms,1,0.062879801,0.937120199,,
130,1315,FAM83H-AS1,Pancreatic Neoplasms,1,0.064492881,0.935507119,,
163,1316,H19,Seizures,1,0.064373612,0.935626388,,
410,1316,PCA3,Seizures,1,0.092260361,0.907739639,,
360,1316,MEG3,Seizures,1,0.098486125,0.901513875,,
421,1316,PICSAR,Seizures,1,0.098842919,0.901157081,,
58,1316,BALR-2,Seizures,1,0.117685318,0.882314682,,
178,1316,HOTAIR,Seizures,1,0.119391978,0.880608022,,
176,1316,HLA-AS1,Seizures,1,0.121836841,0.878163159,,
638,1316,lnc-KCTD6-3,Seizures,1,0.127498507,0.872501493,,
190,1316,IGF2-AS,Seizures,1,0.142930865,0.857069135,,
188,1316,HULC,Seizures,1,0.14381218,0.85618782,,
99,1316,DAOA-AS1,Seizures,1,0.147211373,0.852788627,,
162,1316,gtl2-as,Seizures,1,0.147319973,0.852680027,,
824,1316,TUG1,Seizures,1,0.148854971,0.851145029,,
458,1316,ANRIL,Seizures,1,0.151748359,0.848251641,,
611,1316,LINC01410,Seizures,1,0.156795025,0.843204975,,
163,1317,H19,Crohn Disease,1,0.053456008,0.946543992,,
360,1317,MEG3,Crohn Disease,1,0.10000813,0.89999187,,
355,1317,MALAT1,Crohn Disease,1,0.137406111,0.862593889,,
87,1317,CDKN2B-AS1,Crohn Disease,1,0.144610405,0.855389595,,
391,1317,NEAT1,Crohn Disease,1,0.183048785,0.816951215,,
432,1317,PVT1,Crohn Disease,1,0.214699805,0.785300195,,
178,1317,HOTAIR,Crohn Disease,1,0.236204982,0.763795018,,
105,1317,DISC2,Crohn Disease,1,0.250554919,0.749445081,,
363,1317,MIAT,Crohn Disease,1,0.314239383,0.685760617,,
169,1317,HAR1B,Crohn Disease,1,0.323953509,0.676046491,,
176,1317,HLA-AS1,Crohn Disease,1,0.360577524,0.639422476,,
671,1317,MBNL1-AS1,Crohn Disease,1,0.393881917,0.606118083,,
396,1317,NONRATT021972,Crohn Disease,1,0.405960381,0.594039619,,
830,1317,UCA1,Crohn Disease,1,0.40654242,0.59345758,,
421,1317,PICSAR,Crohn Disease,1,0.413731754,0.586268246,,
58,1318,BALR-2,Heart Failure,1,0.041130006,0.958869994,,
163,1318,H19,Heart Failure,1,0.04285568,0.95714432,,
355,1318,MALAT1,Heart Failure,1,0.066676497,0.933323503,,
176,1318,HLA-AS1,Heart Failure,1,0.080533445,0.919466555,,
458,1318,ANRIL,Heart Failure,1,0.08918488,0.91081512,,
360,1318,MEG3,Heart Failure,1,0.094638228,0.905361772,,
432,1318,PVT1,Heart Failure,1,0.097147822,0.902852178,,
100,1318,DBET,Heart Failure,1,0.097507596,0.902492404,,
363,1318,MIAT,Heart Failure,1,0.113065302,0.886934698,,
438,1318,RN7SK,Heart Failure,1,0.12495029,0.87504971,,
94,1318,CRNDE,Heart Failure,1,0.132956803,0.867043197,,
152,1318,GAS5,Heart Failure,1,0.135277629,0.864722371,,
316,1318,lnc-DC,Heart Failure,1,0.136086941,0.863913059,,
830,1318,UCA1,Heart Failure,1,0.148016512,0.851983488,,
439,1318,RN7SL1,Heart Failure,1,0.15386039,0.84613961,,
432,1319,PVT1,Nasopharyngeal Carcinoma,1,0.043199122,0.956800878,,
830,1319,UCA1,Nasopharyngeal Carcinoma,1,0.05073297,0.94926703,,
824,1319,TUG1,Nasopharyngeal Carcinoma,1,0.057813704,0.942186296,,
842,1319,XIST,Nasopharyngeal Carcinoma,1,0.069223762,0.930776238,,
853,1319,ZFAS1,Nasopharyngeal Carcinoma,1,0.073195338,0.926804662,,
812,1319,TP73-AS1,Nasopharyngeal Carcinoma,1,0.075273752,0.924726248,,
769,1319,SNHG1,Nasopharyngeal Carcinoma,1,0.075845361,0.924154639,,
442,1319,LINC00152,Nasopharyngeal Carcinoma,1,0.075982094,0.924017906,,
458,1319,ANRIL,Nasopharyngeal Carcinoma,1,0.080709279,0.919290721,,
94,1319,CRNDE,Nasopharyngeal Carcinoma,1,0.081436932,0.918563068,,
318,1319,lnc-LCE5A-1,Nasopharyngeal Carcinoma,1,0.081678987,0.918321013,,
129,1319,FAM3D-AS1,Nasopharyngeal Carcinoma,1,0.087066829,0.912933171,,
109,1319,DLX6-AS1,Nasopharyngeal Carcinoma,1,0.101712465,0.898287535,,
774,1319,SNHG16,Nasopharyngeal Carcinoma,1,0.106696069,0.893303931,,
180,1319,HOTTIP,Nasopharyngeal Carcinoma,1,0.109867215,0.890132785,,
434,1320,RBM5-AS1,"Carcinoma, Squamous Cell",1,0.044240892,0.955759108,,
432,1320,PVT1,"Carcinoma, Squamous Cell",1,0.047786057,0.952213943,,
94,1320,CRNDE,"Carcinoma, Squamous Cell",1,0.052229702,0.947770298,,
360,1320,MEG3,"Carcinoma, Squamous Cell",1,0.053245544,0.946754456,,
596,1320,LINC00974,"Carcinoma, Squamous Cell",1,0.056129992,0.943870008,,
90,1320,CFLAR-AS1,"Carcinoma, Squamous Cell",1,0.068962157,0.931037843,,
830,1320,UCA1,"Carcinoma, Squamous Cell",1,0.070229471,0.929770529,,
35,1320,AFAP1-AS1,"Carcinoma, Squamous Cell",1,0.072244883,0.927755117,,
363,1320,MIAT,"Carcinoma, Squamous Cell",1,0.073069513,0.926930487,,
824,1320,TUG1,"Carcinoma, Squamous Cell",1,0.073730886,0.926269114,,
458,1320,ANRIL,"Carcinoma, Squamous Cell",1,0.074376404,0.925623596,,
188,1320,HULC,"Carcinoma, Squamous Cell",1,0.074882448,0.925117552,,
788,1320,SOX2OT,"Carcinoma, Squamous Cell",1,0.075413465,0.924586535,,
250,1320,LINC-ROR,"Carcinoma, Squamous Cell",1,0.077441156,0.922558844,,
408,1320,PANDAR,"Carcinoma, Squamous Cell",1,0.079384923,0.920615077,,
360,1321,MEG3,Heart Diseases,1,0.069723308,0.930276692,,
432,1321,PVT1,Heart Diseases,1,0.083790481,0.916209519,,
87,1321,CDKN2B-AS1,Heart Diseases,1,0.09490478,0.90509522,,
355,1321,MALAT1,Heart Diseases,1,0.159839869,0.840160131,,
830,1321,UCA1,Heart Diseases,1,0.182548881,0.817451119,,
363,1321,MIAT,Heart Diseases,1,0.21499002,0.78500998,,
316,1321,lnc-DC,Heart Diseases,1,0.219176531,0.780823469,,
425,1321,PRINS,Heart Diseases,1,0.222889483,0.777110517,,
754,1321,RPSAP52,Heart Diseases,1,0.25066632,0.74933368,,
437,1321,RMST,Heart Diseases,1,0.301410496,0.698589504,,
58,1321,BALR-2,Heart Diseases,1,0.310274482,0.689725518,,
100,1321,DBET,Heart Diseases,1,0.314398527,0.685601473,,
421,1321,PICSAR,Heart Diseases,1,0.340700567,0.659299433,,
376,1321,MIR99AHG,Heart Diseases,1,0.349846423,0.650153577,,
310,1321,LINC02424,Heart Diseases,1,0.354827225,0.645172775,,
377,1322,MNX1-AS1,Glioma,1,0.003107607,0.996892393,,
298,1322,LINC01234,Glioma,1,0.003223121,0.996776879,,
372,1322,MIR4435-2HG,Glioma,1,0.00336951,0.99663049,,
538,1322,HOXD-AS1,Glioma,1,0.003373742,0.996626258,,
387,1322,NBAT1,Glioma,1,0.00355655,0.99644345,,
711,1322,PCAT-1,Glioma,1,0.003652632,0.996347368,,
151,1322,GAPLINC,Glioma,1,0.003695607,0.996304393,,
788,1322,SOX2OT,Glioma,1,0.003718555,0.996281445,,
736,1322,ROR,Glioma,1,0.003811061,0.996188939,,
177,1322,HNF1A-AS1,Glioma,1,0.003811896,0.996188104,,
134,1322,FER1L4,Glioma,1,0.003925204,0.996074796,,
265,1322,LINC00472,Glioma,1,0.004112065,0.995887935,,
246,1322,LEF1-AS1,Glioma,1,0.004133224,0.995866776,,
389,1322,NCRUPAR,Glioma,1,0.004150987,0.995849013,,
135,1322,FEZF1-AS1,Glioma,1,0.004257739,0.995742261,,
373,1323,MIR503HG,"Carcinoma, Ovarian Epithelial",1,0.011747301,0.988252699,,
395,1323,NNT-AS1,"Carcinoma, Ovarian Epithelial",1,0.012440264,0.987559736,,
463,1323,AWPPH,"Carcinoma, Ovarian Epithelial",1,0.012887776,0.987112224,,
509,1323,FLVCR1-AS1,"Carcinoma, Ovarian Epithelial",1,0.012970448,0.987029552,,
150,1323,GACAT3,"Carcinoma, Ovarian Epithelial",1,0.013695121,0.986304879,,
36,1323,AGAP2-AS1,"Carcinoma, Ovarian Epithelial",1,0.01440686,0.98559314,,
260,1323,LINC00339,"Carcinoma, Ovarian Epithelial",1,0.014472067,0.985527933,,
531,1323,HOST2,"Carcinoma, Ovarian Epithelial",1,0.014698327,0.985301673,,
134,1323,FER1L4,"Carcinoma, Ovarian Epithelial",1,0.017464519,0.982535481,,
159,1323,GHET1,"Carcinoma, Ovarian Epithelial",1,0.017808735,0.982191265,,
179,1323,HOTAIRM1,"Carcinoma, Ovarian Epithelial",1,0.017871976,0.982128024,,
772,1323,SNHG14,"Carcinoma, Ovarian Epithelial",1,0.017895162,0.982104838,,
113,1323,DSCAM-AS1,"Carcinoma, Ovarian Epithelial",1,0.018680096,0.981319904,,
387,1323,NBAT1,"Carcinoma, Ovarian Epithelial",1,0.018815339,0.981184661,,
701,1323,OR3A4,"Carcinoma, Ovarian Epithelial",1,0.018970251,0.981029749,,
262,1324,LINC00460,"Carcinoma, Renal Cell",1,0.00506413,0.99493587,,
116,1324,EGFR-AS1,"Carcinoma, Renal Cell",1,0.005149424,0.994850576,,
504,1324,FAL1,"Carcinoma, Renal Cell",1,0.005292833,0.994707167,,
377,1324,MNX1-AS1,"Carcinoma, Renal Cell",1,0.005450428,0.994549572,,
63,1324,BLACAT1,"Carcinoma, Renal Cell",1,0.006432116,0.993567884,,
159,1324,GHET1,"Carcinoma, Renal Cell",1,0.006525338,0.993474662,,
311,1324,LINCRNA-p21,"Carcinoma, Renal Cell",1,0.006574631,0.993425369,,
300,1324,LINC01296,"Carcinoma, Renal Cell",1,0.007058859,0.992941141,,
711,1324,PCAT-1,"Carcinoma, Renal Cell",1,0.007248878,0.992751122,,
463,1324,AWPPH,"Carcinoma, Renal Cell",1,0.007395506,0.992604494,,
130,1324,FAM83H-AS1,"Carcinoma, Renal Cell",1,0.007533729,0.992466271,,
177,1324,HNF1A-AS1,"Carcinoma, Renal Cell",1,0.007673204,0.992326796,,
664,1324,LSINCT5,"Carcinoma, Renal Cell",1,0.007689238,0.992310762,,
135,1324,FEZF1-AS1,"Carcinoma, Renal Cell",1,0.008451104,0.991548896,,
538,1324,HOXD-AS1,"Carcinoma, Renal Cell",1,0.009029746,0.990970254,,
163,1325,H19,"Epilepsy, Temporal Lobe",1,0.105810106,0.894189894,,
355,1325,MALAT1,"Epilepsy, Temporal Lobe",1,0.106363416,0.893636584,,
360,1325,MEG3,"Epilepsy, Temporal Lobe",1,0.173370659,0.826629341,,
391,1325,NEAT1,"Epilepsy, Temporal Lobe",1,0.190861166,0.809138834,,
87,1325,CDKN2B-AS1,"Epilepsy, Temporal Lobe",1,0.194666445,0.805333555,,
178,1325,HOTAIR,"Epilepsy, Temporal Lobe",1,0.250648558,0.749351442,,
54,1325,ATP6V1G2-DDX39B,"Epilepsy, Temporal Lobe",1,0.260035098,0.739964902,,
363,1325,MIAT,"Epilepsy, Temporal Lobe",1,0.312229693,0.687770307,,
152,1325,GAS5,"Epilepsy, Temporal Lobe",1,0.326933146,0.673066854,,
235,1325,IPW,"Epilepsy, Temporal Lobe",1,0.333636522,0.666363478,,
432,1325,PVT1,"Epilepsy, Temporal Lobe",1,0.36047101,0.63952899,,
