mir,mesh_name,causality,,
hsa-mir-377,Reperfusion Injury,yes,1144,1557
hsa-mir-150,Sepsis,yes,965,1558
hsa-mir-29b,"Carcinoma, Renal Cell",yes,1075,1324
hsa-mir-150,Obesity,yes,965,1357
hsa-mir-29c,"Carcinoma, Embryonal",yes,1078,1443
hsa-mir-124,Glioblastoma,yes,903,1301
hsa-mir-181,Autism Spectrum Disorder,yes,979,1411
hsa-mir-146a,Reperfusion Injury,yes,960,1557
hsa-mir-505,"Carcinoma, Hepatocellular",yes,1197,1310
hsa-mir-206,Rhabdomyosarcoma,yes,1030,1515
hsa-mir-150,Diabetic Retinopathy,yes,965,1508
hsa-mir-34a,Obesity,yes,1126,1357
hsa-mir-122,Pterygium,yes,899,1427
hsa-mir-145,Prostatic Neoplasms,yes,959,1339
hsa-mir-27a,"Arthritis, Rheumatoid",yes,1066,1423
hsa-mir-424,"Carcinoma, Non-Small-Cell Lung",yes,1158,1312
hsa-let-7,"Sarcoma, Kaposi",yes,861,1525
hsa-mir-142,"Carcinoma, Hepatocellular",yes,956,1310
hsa-mir-320a,"Carcinoma, Hepatocellular",yes,1100,1310
hsa-mir-423,Glioma,yes,1157,1322
hsa-mir-126,"Carcinoma, Hepatocellular",yes,917,1310
hsa-mir-146a,Gout,yes,960,1566
hsa-mir-15a,"Carcinoma, Non-Small-Cell Lung",yes,972,1312
hsa-mir-125b,"Leukemia, B-Cell",yes,914,1552
hsa-mir-21,Spinal Cord Injuries,yes,1036,1567
hsa-mir-148b,Endometrial Neoplasms,yes,963,1362
hsa-mir-223,"Leukemia, Promyelocytic, Acute",yes,1053,1475
hsa-mir-1-2,Heart Failure,yes,877,1318
hsa-mir-24-1,Tourette Syndrome,yes,1059,1568
hsa-let-7a-1,Colonic Neoplasms,yes,863,1336
hsa-let-7a-1,Lung Neoplasms,yes,863,1308
hsa-let-7a-2,Colonic Neoplasms,yes,864,1336
hsa-let-7a-2,Lung Neoplasms,yes,864,1308
hsa-let-7a-3,Colonic Neoplasms,yes,865,1336
hsa-let-7a-3,Lung Neoplasms,yes,865,1308
hsa-let-7b,Colonic Neoplasms,yes,866,1336
hsa-let-7b,Lung Neoplasms,yes,866,1308
hsa-let-7c,Colonic Neoplasms,yes,867,1336
hsa-let-7c,Lung Neoplasms,yes,867,1308
hsa-let-7d,Colonic Neoplasms,yes,868,1336
hsa-let-7d,Lung Neoplasms,yes,868,1308
hsa-let-7e,Colonic Neoplasms,yes,869,1336
hsa-let-7e,Lung Neoplasms,yes,869,1308
hsa-let-7f-1,Colonic Neoplasms,yes,871,1336
hsa-let-7f-1,Lung Neoplasms,yes,871,1308
hsa-let-7f-2,Colonic Neoplasms,yes,872,1336
hsa-let-7f-2,Lung Neoplasms,yes,872,1308
hsa-let-7g,Colonic Neoplasms,yes,873,1336
hsa-let-7g,Lung Neoplasms,yes,873,1308
hsa-let-7i,Colonic Neoplasms,yes,874,1336
hsa-let-7i,Lung Neoplasms,yes,874,1308
hsa-mir-221,Carotid Artery Diseases,yes,1051,1569
hsa-mir-222,Carotid Artery Diseases,yes,1052,1569
hsa-mir-10b,Myocardial Infarction,yes,893,1388
hsa-mir-150,"Carcinoma, Hepatocellular",yes,965,1310
hsa-mir-126,Asthma,yes,917,1529
hsa-let-7a-1,Neoplasms,yes,863,1299
hsa-let-7a-2,Neoplasms,yes,864,1299
hsa-let-7a-3,Neoplasms,yes,865,1299
hsa-mir-200a,Neoplasms,yes,1022,1299
hsa-mir-200b,Neoplasms,yes,1023,1299
hsa-mir-200c,Neoplasms,yes,1024,1299
hsa-mir-21,Breast Neoplasms,yes,1036,1303
hsa-mir-221,"Carcinoma, Hepatocellular",yes,1051,1310
hsa-mir-124-1,Neuroblastoma,yes,904,1302
hsa-mir-124-2,Neuroblastoma,yes,905,1302
hsa-mir-124-3,Neuroblastoma,yes,906,1302
hsa-mir-122,Hepatitis C,yes,899,1472
hsa-mir-181b-1,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,yes,983,1549
hsa-mir-21,Heart Diseases,yes,1036,1321
hsa-let-7i,"Carcinoma, Renal Cell",yes,874,1324
hsa-mir-138-1,"Carcinoma, Renal Cell",yes,951,1324
hsa-mir-138-2,"Carcinoma, Renal Cell",yes,952,1324
hsa-mir-21,Glioma,yes,1036,1322
hsa-mir-150,Leukemia,yes,965,1385
hsa-mir-204,Neoplasms,yes,1028,1299
hsa-mir-21,Glioblastoma,yes,1036,1301
hsa-mir-18a,Immune System Diseases,yes,994,1570
hsa-mir-17,Medulloblastoma,yes,977,1367
hsa-mir-19a,Medulloblastoma,yes,1017,1367
hsa-mir-196b,"Leukemia, Myeloid, Acute",yes,1009,1366
hsa-mir-21,"Leukemia, Myeloid, Acute",yes,1036,1366
hsa-mir-92a,"Leukemia, Promyelocytic, Acute",yes,1282,1475
hsa-let-7b,Neoplasms,yes,866,1299
hsa-mir-17,Multiple Sclerosis,yes,977,1466
hsa-mir-155,Encephalomyelitis,yes,971,1571
hsa-mir-18a,Prostatic Neoplasms,yes,994,1339
hsa-mir-21,"Carcinoma, Non-Small-Cell Lung",yes,1036,1312
hsa-mir-182,Ovarian Neoplasms,yes,987,1309
hsa-mir-92a,Myocardial Reperfusion Injury,yes,1282,1522
hsa-mir-145,Atherosclerosis,yes,959,1376
hsa-mir-21,Lung Neoplasms,yes,1036,1308
hsa-mir-21,Obesity,yes,1036,1357
hsa-mir-17,"Leukemia, Lymphocytic, Chronic, B-Cell",yes,977,1401
hsa-mir-21,Aneurysm,yes,1036,1572
hsa-mir-21,Precursor Cell Lymphoblastic Leukemia-Lymphoma,yes,1036,1344
hsa-mir-19b,"Carcinoma, Embryonal",yes,1018,1443
hsa-let-7c,Heart Diseases,yes,867,1321
hsa-mir-155,Neoplasms,yes,971,1299
hsa-mir-17,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",yes,977,1440
hsa-mir-20a,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",yes,1034,1440
hsa-mir-155,Spinal Cord Injuries,yes,971,1567
hsa-mir-21,Cholangiocarcinoma,yes,1036,1326
hsa-mir-221,"Arthritis, Rheumatoid",yes,1051,1423
hsa-mir-31,Myocardial Infarction,yes,1096,1388
hsa-mir-208a,Myocardial Infarction,yes,1032,1388
hsa-mir-195,Diabetic Cardiomyopathies,yes,1005,1442
hsa-mir-21,Colorectal Neoplasms,yes,1036,1304
hsa-let-7,Neoplasms,yes,861,1299
hsa-mir-34a,Myocardial Infarction,yes,1126,1388
hsa-mir-214,Liver Cirrhosis,yes,1040,1337
hsa-mir-17,Graft vs Host Disease,yes,977,1573
hsa-mir-19b,Graft vs Host Disease,yes,1018,1573
hsa-mir-372,Stomach Neoplasms,yes,1137,1307
hsa-mir-150,Chemical and Drug Induced Liver Injury,yes,965,1574
hsa-mir-181a,Ischemia,yes,980,1575
hsa-mir-21,Non-alcoholic Fatty Liver Disease,yes,1036,1481
hsa-mir-155,Stroke,yes,971,1397
hsa-mir-20a,"Carcinoma, Non-Small-Cell Lung",yes,1034,1312
hsa-mir-205,Neoplasms,yes,1029,1299
hsa-mir-222,Pancreatic Neoplasms,yes,1052,1315
hsa-mir-503,Esophageal Neoplasms,yes,1195,1351
hsa-mir-96,Urinary Bladder Neoplasms,yes,1294,1306
hsa-mir-155,Inferior Wall Myocardial Infarction,yes,971,1576
hsa-mir-106b,"Carcinoma, Renal Cell",yes,890,1324
hsa-mir-210,Nervous System Diseases,yes,1037,1334
hsa-mir-184,"Carcinoma, Pancreatic Ductal",yes,989,1577
hsa-mir-630,Ovarian Neoplasms,yes,1244,1309
hsa-mir-15b,Colorectal Neoplasms,yes,973,1304
hsa-mir-193,Stomach Neoplasms,yes,999,1307
hsa-mir-126,Myocardial Infarction,yes,917,1388
hsa-mir-223,Encephalomyelitis,yes,1053,1571
hsa-mir-125b,Amyotrophic Lateral Sclerosis,yes,914,1485
hsa-mir-210,Myocardial Infarction,yes,1037,1388
hsa-mir-130b,"Carcinoma, Hepatocellular",yes,935,1310
hsa-mir-21,Myocardial Reperfusion Injury,yes,1036,1522
hsa-mir-222,Neoplasms,yes,1052,1299
hsa-mir-199a,Pancreatic Neoplasms,yes,1013,1315
hsa-mir-34a,Cholangiocarcinoma,yes,1126,1326
hsa-mir-125b,Melanoma,yes,914,1347
hsa-mir-223,Multiple Sclerosis,yes,1053,1466
hsa-mir-25,Choriocarcinoma,yes,1061,1439
hsa-mir-192,Chemical and Drug Induced Liver Injury,yes,998,1574
hsa-mir-128,Myocardial Reperfusion Injury,yes,921,1522
hsa-mir-125b,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",yes,914,1440
hsa-mir-451,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",yes,1168,1440
hsa-mir-224,Brain Ischemia,yes,1054,1578
hsa-mir-544a,Colorectal Neoplasms,yes,1220,1304
hsa-mir-592,Colorectal Neoplasms,yes,1230,1304
hsa-mir-21,Esophageal Neoplasms,yes,1036,1351
hsa-mir-138,Intervertebral Disc Degeneration,yes,950,1335
hsa-mir-27b,"Carcinoma, Non-Small-Cell Lung",yes,1067,1312
hsa-mir-21,Liver Cirrhosis,yes,1036,1337
hsa-mir-454,"Carcinoma, Non-Small-Cell Lung",yes,1171,1312
hsa-mir-93,Uterine Cervical Neoplasms,yes,1286,1300
hsa-mir-206,Tuberculosis,yes,1030,1562
hsa-mir-155,Graft vs Host Disease,yes,971,1573
hsa-mir-224,Stomach Neoplasms,yes,1054,1307
hsa-mir-214,Breast Neoplasms,yes,1040,1303
hsa-mir-214,Melanoma,yes,1040,1347
hsa-mir-154,Glioblastoma,yes,970,1301
hsa-mir-155,Acute Lung Injury,yes,971,1579
hsa-mir-181a,"Carcinoma, Hepatocellular",yes,980,1310
hsa-mir-9,Triple Negative Breast Neoplasms,yes,1276,1398
hsa-mir-23a,Macular Degeneration,yes,1055,1580
hsa-mir-942,"Sarcoma, Kaposi",yes,1291,1525
hsa-mir-10b,Endometrial Neoplasms,yes,893,1362
hsa-mir-9,Prostatic Neoplasms,yes,1276,1339
hsa-mir-21,Asthma,yes,1036,1529
hsa-mir-106b,Pituitary Neoplasms,yes,890,1369
hsa-mir-155,Uterine Cervical Neoplasms,yes,971,1300
hsa-mir-210,Epilepsy,yes,1037,1581
hsa-mir-182,Triple Negative Breast Neoplasms,yes,987,1398
hsa-mir-137,Vascular System Injuries,yes,949,1582
hsa-mir-17,Lymphoma,yes,977,1417
hsa-mir-21,Osteosarcoma,yes,1036,1305
hsa-mir-106b,Breast Neoplasms,yes,890,1303
hsa-mir-127,Obesity,yes,918,1357
hsa-mir-21,Melanoma,yes,1036,1347
hsa-mir-181a,Uterine Cervical Neoplasms,yes,980,1300
hsa-mir-322,Breast Neoplasms,yes,1106,1303
hsa-mir-424,Breast Neoplasms,yes,1158,1303
hsa-mir-503,Breast Neoplasms,yes,1195,1303
hsa-mir-27a,Colorectal Neoplasms,yes,1066,1304
hsa-mir-155,Infection,yes,971,1583
hsa-mir-29a,Breast Neoplasms,yes,1074,1303
hsa-mir-21,Neoplasms,yes,1036,1299
hsa-mir-146a,Listeriosis,yes,960,1584
hsa-mir-21,Colitis,yes,1036,1585
hsa-mir-21,"Hepatitis, Alcoholic",yes,1036,1586
hsa-mir-1246,Uterine Cervical Neoplasms,yes,907,1300
hsa-mir-299,"Carcinoma, Hepatocellular",yes,1073,1310
hsa-mir-17,Hematologic Neoplasms,yes,977,1372
hsa-mir-18a,Hematologic Neoplasms,yes,994,1372
hsa-mir-19a,Hematologic Neoplasms,yes,1017,1372
hsa-mir-19b-1,Hematologic Neoplasms,yes,1019,1372
hsa-mir-20a,Hematologic Neoplasms,yes,1034,1372
hsa-mir-17,Colonic Neoplasms,yes,977,1336
hsa-mir-17,Lung Neoplasms,yes,977,1308
hsa-mir-18a,Colonic Neoplasms,yes,994,1336
hsa-mir-18a,Lung Neoplasms,yes,994,1308
hsa-mir-19a,Colonic Neoplasms,yes,1017,1336
hsa-mir-19a,Lung Neoplasms,yes,1017,1308
hsa-mir-19b-1,Colonic Neoplasms,yes,1019,1336
hsa-mir-19b-1,Lung Neoplasms,yes,1019,1308
hsa-mir-20a,Colonic Neoplasms,yes,1034,1336
hsa-mir-20a,Lung Neoplasms,yes,1034,1308
hsa-mir-92a-1,Colonic Neoplasms,yes,1283,1336
hsa-mir-92a-1,Lung Neoplasms,yes,1283,1308
hsa-let-7g,"Carcinoma, Non-Small-Cell Lung",yes,873,1312
hsa-mir-184,"Carcinoma, Squamous Cell",yes,989,1320
hsa-mir-221,Prostatic Neoplasms,yes,1051,1339
hsa-mir-222,Prostatic Neoplasms,yes,1052,1339
hsa-mir-31,Leiomyosarcoma,yes,1096,1587
hsa-mir-125a,Ovarian Neoplasms,yes,913,1309
hsa-mir-26a,Glioblastoma,yes,1062,1301
hsa-mir-17,Neoplasms,yes,977,1299
hsa-mir-18a,Neoplasms,yes,994,1299
hsa-mir-19a,Neoplasms,yes,1017,1299
hsa-mir-19b-1,Neoplasms,yes,1019,1299
hsa-mir-19b-2,Neoplasms,yes,1020,1299
hsa-mir-92a-1,Neoplasms,yes,1283,1299
hsa-mir-92a-2,Neoplasms,yes,1284,1299
hsa-mir-125b,Leukemia,yes,914,1385
hsa-mir-18a,Urinary Bladder Neoplasms,yes,994,1306
hsa-mir-19a,Urinary Bladder Neoplasms,yes,1017,1306
hsa-mir-155,Hepatitis C,yes,971,1472
hsa-mir-196b,Hepatitis C,yes,1009,1472
hsa-mir-125b-2,Glioblastoma,yes,916,1301
hsa-mir-17,Burkitt Lymphoma,yes,977,1510
hsa-mir-18a,Burkitt Lymphoma,yes,994,1510
hsa-mir-19a,Burkitt Lymphoma,yes,1017,1510
hsa-mir-19b-1,Burkitt Lymphoma,yes,1019,1510
hsa-mir-20a,Burkitt Lymphoma,yes,1034,1510
hsa-mir-92a-1,Burkitt Lymphoma,yes,1283,1510
hsa-mir-10b,Pancreatic Neoplasms,yes,893,1315
hsa-mir-155,"Carcinoma, Hepatocellular",yes,971,1310
hsa-mir-122,"Carcinoma, Hepatocellular",yes,899,1310
hsa-mir-223,"Leukemia, Lymphocytic, Chronic, B-Cell",yes,1053,1401
hsa-mir-200a,Prostatic Neoplasms,yes,1022,1339
hsa-mir-28,Colorectal Neoplasms,yes,1068,1304
hsa-mir-17,Leukemia,yes,977,1385
hsa-mir-19a,"Leukemia, Erythroblastic, Acute",yes,1017,1588
hsa-mir-92a,"Leukemia, Erythroblastic, Acute",yes,1282,1588
hsa-mir-130a,Ovarian Neoplasms,yes,934,1309
hsa-mir-125b,"Leukemia, Myeloid, Acute",yes,914,1366
hsa-mir-615,"Carcinoma, Hepatocellular",yes,1238,1310
hsa-mir-221,Thyroid Neoplasms,yes,1051,1330
hsa-mir-132,Heart Diseases,yes,936,1321
hsa-mir-212,Heart Diseases,yes,1039,1321
hsa-mir-221,Inflammation,yes,1051,1564
hsa-mir-17,Stomach Neoplasms,yes,977,1307
hsa-mir-20a,Stomach Neoplasms,yes,1034,1307
hsa-mir-100,"Carcinoma, Renal Cell",yes,878,1324
hsa-mir-106b,"Carcinoma, Hepatocellular",yes,890,1310
hsa-mir-1,Myocardial Infarction,yes,875,1388
hsa-mir-146a,Sepsis,yes,960,1558
hsa-mir-9,Leukemia,yes,1276,1385
hsa-mir-146b,Inflammation,yes,961,1564
hsa-mir-22,Heart Diseases,yes,1050,1321
hsa-mir-449a,Retinoblastoma,yes,1166,1348
hsa-mir-32,Colorectal Neoplasms,yes,1098,1304
hsa-mir-18a,"Leukemia, B-Cell",yes,994,1552
hsa-mir-19a,"Leukemia, B-Cell",yes,1017,1552
hsa-mir-19b,"Leukemia, B-Cell",yes,1018,1552
hsa-mir-92a,"Leukemia, B-Cell",yes,1282,1552
hsa-mir-18a,Staphylococcal Scalded Skin Syndrome,yes,994,1589
hsa-let-7a,"Lupus Erythematosus, Systemic",yes,862,1501
hsa-mir-296,Prostatic Neoplasms,yes,1070,1339
hsa-mir-9,"Hypertension, Pulmonary",yes,1276,1559
hsa-mir-210,Gastrointestinal Stromal Tumors,yes,1037,1371
hsa-mir-125a,Myelodysplastic Syndromes,yes,913,1505
hsa-mir-30c,Heart Diseases,yes,1091,1321
hsa-mir-429,Ovarian Neoplasms,yes,1160,1309
hsa-mir-30a,Nasopharyngeal Neoplasms,yes,1089,1533
hsa-mir-222,"Carcinoma, Hepatocellular",yes,1052,1310
hsa-mir-23b,Breast Neoplasms,yes,1056,1303
hsa-mir-24,Breast Neoplasms,yes,1058,1303
hsa-mir-27b,Breast Neoplasms,yes,1067,1303
hsa-mir-9,Osteosarcoma,yes,1276,1305
hsa-mir-214,Cardiomegaly,yes,1040,1370
hsa-mir-195,Heart Diseases,yes,1005,1321
hsa-mir-146a,Breast Neoplasms,yes,960,1303
hsa-mir-21,Stomach Neoplasms,yes,1036,1307
hsa-mir-196a,Mouth Neoplasms,yes,1006,1386
hsa-mir-223,Colorectal Neoplasms,yes,1053,1304
hsa-mir-410,Colorectal Neoplasms,yes,1153,1304
hsa-mir-374a,Neoplasms,yes,1139,1299
hsa-mir-545,Neoplasms,yes,1221,1299
hsa-mir-200c,Breast Neoplasms,yes,1024,1303
hsa-mir-34a,"Hearing Loss, Central",yes,1126,1590
hsa-mir-29c,Brain Diseases,yes,1078,1591
hsa-mir-433,Ovarian Neoplasms,yes,1163,1309
hsa-mir-221,Neoplasms,yes,1051,1299
hsa-mir-153,"Carcinoma, Hepatocellular",yes,967,1310
hsa-mir-21,Uterine Cervical Neoplasms,yes,1036,1300
hsa-mir-125a,"Hepatitis B, Chronic",yes,913,1592
hsa-mir-196a,Osteosarcoma,yes,1006,1305
hsa-mir-221,"Carcinoma, Non-Small-Cell Lung",yes,1051,1312
hsa-mir-144,Diabetic Cardiomyopathies,yes,958,1442
hsa-mir-23a,Laryngeal Neoplasms,yes,1055,1415
hsa-mir-132,"Diabetes Mellitus, Type 2",yes,936,1399
hsa-mir-212,"Diabetes Mellitus, Type 2",yes,1039,1399
hsa-mir-331,Prostatic Neoplasms,yes,1115,1339
hsa-mir-215,Glioma,yes,1041,1322
hsa-mir-206,Cardiomegaly,yes,1030,1370
